Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;19-33-90251/19;НГУ ФЕН;ЛМРХБиМ;Развитие новых методов спектроскопии ЯМР в слабом, ультраслабом и нулевом магнитном поле;Конторович Алексей Эмильевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Проведение исследований;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.03: ТЕОРИЯ СТРОЕНИЯ МОЛЕКУЛ И ХИМИЧЕСКОЙ СВЯЗИ; 
31.15.29: ФОТОХИМИЯ. ЛАЗЕРОХИМИЯ";2;
Аксенова Н.В.;;19-33-90205;НГУ ФЕН;ЛСБиММ;Развитие подхода для структурной интерпретации объемных свойств растворов на основе молекулярно-динамического моделирования;Конторович Алексей Эмильевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Поиск существующих технологий под решение вызова;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;31.15.31: РАСТВОРЫ;2;
Аксенова Н.В.;;NSK/R&D/28/04/2015;ИВМиМГ СО РАН;ЛСКМ;Разработка  тестов производительности для новой виртуальной машины ART из Android;Конторович Алексей Эмильевич;Интел А/О;Инфокоммуникационные разработки;120 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;4;
Аксенова Н.В.;;О-61-19;НГУ ЭФ;ЛМАНПЭ;Разработка алгоритма оптимизации и создание базы данных стоимости перевозок определенных продуктов между определенными железнодорожными станциями;Конторович Алексей Эмильевич;ИП Бродников Александр Алексеевич;Управление финансово-промышленными группами;500 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;27: МАТЕМАТИКА;27.47: МАТЕМАТИЧЕСКАЯ КИБЕРНЕТИКА;27.47.19: ИССЛЕДОВАНИЕ ОПЕРАЦИЙ;4;
Ерманюк Е.И.;;№ 121/18-Д от 22.06.2018;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Разработка алгоритма расчета сопряженного течения скважина-трещина гидроразрыва пласта с учетом возможности волновых явлений, связанных с сжимаемостью жидкости и упругостью конструкции скважины;Конторович Алексей Эмильевич;Санкт-Петербургский политехнический университет Петра Великого ФГАОУВО;Образование высшее;6 000 000,00;Не грант;;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;30.17.51: ПРИКЛАДНАЯ ГИДРОДИНАМИКА И ГИДРАВЛИКА;4;-
Аксенова Н.В.;;Заказ №НТЦ-19/07000/00985/Р-ГПН к договору №НТЦ-19/07000/00794/р-ГПН;НГУ ПрНИД;НОЦГПННГУ;Разработка алгоритма решения задачи оптимального распределения инвестиций между равнозначными проектами, как без ограничений на их параметры, так и в случае с одним ограничением на параметры;Ерзин Адиль Ильясович;Газпромнефть НТЦ ООО;Нефть/Газ;1 993 272,02;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;;
Аксенова Н.В.;;Договор №1;НГУ ММФ;ЛАПДиМО;Разработка аналитических инструментов потоковой обработки данных в телекоммуникационных сетях;Конторович Алексей Эмильевич;Сигнатек, ООО, г. Новосибирск;Разработка профессионального оборудования в области сбора, распределения и обработки информации;167 130 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;50: АВТОМАТИКА. ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА;50.41: ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ВЫЧИСЛИ-ТЕЛЬНЫХ МАШИН, КОМПЛЕКСОВ И СЕТЕЙ;50.41.25: ПРИКЛАДНОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ;5;
Аксенова Н.В.;;ИС-52/17;НГУ ФФ;ЛабПФ;Разработка волоконного распределенного акустического датчика;Конторович Алексей Эмильевич;Инверсия-Сенсор, ООО;Разработкой и производство систем мониторинга на основе волоконно-оптических датчиков;250 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;29: ФИЗИКА;29.33: ЛАЗЕРНАЯ ФИЗИКА;29.33.43 : Распространение лазерного излучения;3;
Аксенова Н.В.;;СОГЛАШЕНИЕ № 18-73-00154;НГУ ФЕН;ЛабФХОФМ;Разработка и апробация метода прогнозирования полиморфных превращений в кристаллах органических соединений при высоких давлениях;Конторович Алексей Эмильевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.15: ИССЛЕДОВАНИЯ СТРОЕНИЯ И СВОЙСТВ МОЛЕКУЛ И ХИМИЧЕСКОЙ СВЯЗИ; 
31.15.35: ПОВЕРХНОСТНЫЕ ЯВЛЕНИЯ. АДСОРБЦИЯ. ХРОМАТОГРАФИЯ. ИОННЫЙ ОБМЕН";3;
Аксенова Н.В.;;СОГЛАШЕНИЕ № 18-73-00154;НГУ ФЕН;ЛабФХОФМ;Разработка и апробация метода прогнозирования полиморфных превращений в кристаллах органических соединений при высоких давлениях;Конторович Алексей Эмильевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;3 000 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;31: ХИМИЯ;31.15: ФИЗИЧЕСКАЯ ХИМИЯ;"31.15.15: ИССЛЕДОВАНИЯ СТРОЕНИЯ И СВОЙСТВ МОЛЕКУЛ И ХИМИЧЕСКОЙ СВЯЗИ; 
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ; 
31.15.35: ПОВЕРХНОСТНЫЕ ЯВЛЕНИЯ. АДСОРБЦИЯ. ХРОМАТОГРАФИЯ. ИОННЫЙ ОБМЕН";3;
Аксенова Н.В.;;Ф-338-16;НГУ ФФ;ОПФФФ;Разработка и апробация методик анализа химического состава кобальт содержащих отходов, а также методов извлечения кобальта из предоставленных Закачиком образцов;Конторович Алексей Эмильевич;Центр технологий Лантан, ООО;Химическая промышленность;1 400 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;"29: ФИЗИКА; 
31: ХИМИЯ; 
38: ГЕОЛОГИЯ; 
61: ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ";"29.31: ОПТИКА; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
38.41: МЕТОДЫ ЛАБОРАТОРНЫХ МИНЕРАЛОГО-ПЕТРОГРАФИЧЕСКИХ И ГЕОХИМИЧЕСКИХ ИССЛЕДОВАНИЙ; 
61.69: ТЕХНОЛОГИЯ ХИМИЧЕСКИХ РЕАКТИВОВ И ОСОБО ЧИСТЫХ ВЕЩЕСТВ";"29.31.26 : Спектроскопические методы и методики;
31.15.25 : Химическая термодинамика. Термохимия. Равновесия. Физико-химический анализ, фазовые переходы; 
38.41.19 : Оптические методы исследования минералов. Спектроскопия и люминесценция минералов; 
61.69.35 : Особо чистые вещества";4;
Аксенова Н.В.;;Ф-334-15;НГУ ФФ;ОПФФФ;Разработка и апробация новых методик анализа  состава  и переработки химического сырья;Конторович Алексей Эмильевич;Центр технологий Лантан, ООО;Химическая промышленность;700 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;4;
Аксенова Н.В.;;Договор 547/17/Н;НГУ ФФ;УНЛОДЭП;Разработка и исследование макета распределителя газовых потоков каталитических реакторов окисления летучих органических соединений;Конторович Алексей Эмильевич;ИК СО РАН;Научные исследования и разработки;10 000 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;29: ФИЗИКА;"29.17: ФИЗИКА ГАЗОВ И ЖИДКОСТЕЙ. ТЕРМО-ДИНАМИКА И СТАТИСТИЧЕСКАЯ ФИЗИКА; 
";29.17.15 : Газы;5;
Аксенова Н.В.;;NSK/R&D/47/2016;НГУ ФИТ;ЛабВВС;Разработка и оптимизация кода для решения магнитно-гидродинамических  (МГД) задач с учетом ионизации водорода на массивно-параллельных суперкомпьютерах с использованием ускорителей Intel Xeon Phi;Конторович Алексей Эмильевич;Интел А/О;Инфокоммуникационные разработки;316 056,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;50: АВТОМАТИКА. ВЫЧИСЛИТЕЛЬНАЯ ТЕХНИКА;50.41: ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ВЫЧИСЛИ-ТЕЛЬНЫХ МАШИН, КОМПЛЕКСОВ И СЕТЕЙ;50.41.25: ПРИКЛАДНОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ;2;
Аксенова Н.В.;;Ф-333-15;НГУ ФФ;ОПФФФ;Разработка и поставка электрооптических модуляторов  из высокоомных кристаллов КТР с улучшенными характеристиками;Конторович Алексей Эмильевич;Кристаллы Сибири, ООО, г. Новосибирск;Производство оптических приборов, фото- и кинооборудования;890 000,00;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;;;;4;
Аксенова Н.В.;;Заказ №НТЦ-19/08000/01591/Р-ГПН к договору №НТЦ-19/07000/00794/р-ГПН;НГУ ПрНИД;НОЦГПННГУ;Разработка инструмента скрининга применимости технологий МУН;Головин Сергей Валерьевич;Газпромнефть НТЦ ООО;Нефть/Газ;10 998 376,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;;
Ерманюк Е.И.;;№ 120/18-Д от 22.06.2018;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Разработка интерпретации данных мини-ГРП с учетом пороупругого эффекта по данным прямого численного моделирования;Конторович Алексей Эмильевич;Санкт-Петербургский политехнический университет Петра Великого ФГАОУВО;Образование высшее;4 500 000,00;Не грант;Нет;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;4;-
Ерманюк Е.И.;;МК-7778.2016.5;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Разработка комплексного метода малоглубинной сейсморазведки по данным преломленных, отраженных и поверхностных волн;Конторович Алексей Эмильевич;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;1 200 000,00;Грант;Нет;Бюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;2;
Аксенова Н.В.;;М0818;НГУ ФФ;ЛМЭПФФ;Разработка математических алгоритмов и создание научно-технического задела для опытного образца системы бесконтактного измерения геометрических параметров сопла.;Конторович Алексей Эмильевич;УМПО ПАО;Разработка и производство газотурбинных двигателей;23 912 441,00;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;90: МЕТРОЛОГИЯ;90.27: ИЗМЕРЕНИЯ ОТДЕЛЬНЫХ ВЕЛИЧИН И ХАРАКТЕРИСТИК;90.27.27: ИЗМЕРЕНИЯ ГЕОМЕТРИЧЕСКИХ ВЕЛИЧИН;4;
Ерманюк Е.И.;;№ СТО-062/17Р;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Разработка математических моделей, программных средств по решению задачи учета влияния пороупругого эффекта на гидравлическую геометрию трещины ГРП для изотропного по упругим характеристикам разреза;Конторович Алексей Эмильевич;Газпромнефть НТЦ ООО;Нефть/Газ;7 952 000,00;Не грант;Нет;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;2;-
Аксенова Н.В.;;О-44-16;НГУ ФИТ;ЛСКТ;Разработка методик  и программного обеспечения  управления и контроля мультикластерного  гибридного вычислительного комплекса;Конторович Алексей Эмильевич;ВНИИА ФГУП г. Москва;Научные исследования и разработки;920 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;;;;3;
Аксенова Н.В.;;Ф-343-17;НГУ ФФ;ОПФФФ;Разработка методики бездефектной полировки функциональных поверхностей оптических материалов для производства приборов управления лазерным излучением;Конторович Алексей Эмильевич;Сибирский монокристалл - ЭКСМА, ЗАО;Производство оптических приборов, фото- и кинооборудования;4 800 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;29: ФИЗИКА;29.29: ФИЗИКА АТОМА И МОЛЕКУЛЫ;"29.29.49 : Атомные кластеры. Молекулярные кластеры;
29.29.41 : Взаимодействие атомов и молекул со средой;
29.19.21 : Влияние облучения на свойства твердых тел;
29.31.27 : Взаимодействие оптического излучения с веществом;
29.27.51 : Применение плазмы";4;
Аксенова Н.В.;;Ф-344-18;НГУ ФФ;ОПФФФ;Разработка методики создания периодически поляризованных структур (ППС) в кристаллах КТР;Конторович Алексей Эмильевич;Кристаллы Сибири, ООО, г. Новосибирск;Производство оптических приборов, фото- и кинооборудования;1 296 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;"29: ФИЗИКА; 
31: ХИМИЯ;  
45: ЭЛЕКТРОТЕХНИКА; 
61: ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ";"29.31: ОПТИКА; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
45.51: СВЕТОТЕХНИКА; 
61.69: ТЕХНОЛОГИЯ ХИМИЧЕСКИХ РЕАКТИВОВ И ОСОБО ЧИСТЫХ ВЕЩЕСТВ";"29.31.23: ЛЮМИНЕСЦЕНЦИЯ; 
31.15.17: КРИСТАЛЛОХИМИЯ И КРИСТАЛЛОГРАФИЯ; 
45.51.29: ИСТОЧНИКИ СВЕТА; 
61.69.37: МОНОКРИСТАЛЛЫ И СЦИНТИЛЛЯТОРЫ;  
61.69.39: ЛЮМИНЕСЦЕНТНЫЕ ХИМИЧЕСКИЕ ВЕЩЕСТВА";4;
Аксенова Н.В.;;Ф-346-18;НГУ ФФ;ОПФФФ;Разработка методов диагностики и экспериментальные исследования состава продуктов переработки с использованием комплекса аналитического оборудования ЦКП ПФ;Конторович Алексей Эмильевич;ПК Лантан, ООО;Неорганическая химия Производство;9 750 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;"31: ХИМИЯ; 
29: ФИЗИКА; 
38: ГЕОЛОГИЯ; 
53: МЕТАЛЛУРГИЯ; 
61: ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ; 
87: ОХРАНА ОКРУЖАЮЩЕЙ СРЕДЫ. ЭКОЛОГИЯ ЧЕЛОВЕКА
";"31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
29.31: ОПТИКА; 
38.41: МЕТОДЫ ЛАБОРАТОРНЫХ МИНЕРАЛОГО-ПЕТРОГРАФИЧЕСКИХ И ГЕОХИМИЧЕСКИХ ИССЛЕДОВАНИЙ; 
53.37: ПРОИЗВОДСТВО ЦВЕТНЫХ МЕТАЛЛОВ И СПЛАВОВ; 
61.69: ТЕХНОЛОГИЯ ХИМИЧЕСКИХ РЕАКТИВОВ И ОСОБО ЧИСТЫХ ВЕЩЕСТВ; 
87.53: УПРАВЛЕНИЕ ОТХОДАМИ. МАЛООТХОДНАЯ И БЕЗОТХОДНАЯ ТЕХНОЛОГИИ";"31.15.25: ХИМИЧЕСКАЯ ТЕРМОДИНАМИКА. ТЕРМОХИМИЯ. РАВНОВЕСИЯ. ФИЗИКО-ХИМИЧЕСКИЙ АНАЛИЗ, ФАЗОВЫЕ ПЕРЕХОДЫ; 
29.31.26: СПЕКТРОСКОПИЧЕСКИЕ МЕТОДЫ И МЕТОДИКИ; 
38.41.19: ОПТИЧЕСКИЕ МЕТОДЫ ИССЛЕДОВАНИЯ МИНЕРАЛОВ. СПЕКТРОСКОПИЯ И ЛЮМИНЕСЦЕНЦИЯ МИНЕРАЛОВ; 
53.37.35: ПРОИЗВОДСТВО РЕДКИХ И РЕДКОЗЕМЕЛЬНЫХ МЕТАЛЛОВ И СПЛАВОВ; 
61.69.35: ОСОБО ЧИСТЫЕ ВЕЩЕСТВА; 
87.53.13: УДАЛЕНИЕ, СБОР, ОБЕЗВРЕЖИВАНИЕ, ПЕРЕРАБОТКА И УТИЛИЗАЦИЯ ГАЗООБРАЗНЫХ, ЖИДКИХ И ТВЕРДЫХ ОТХОДОВ. ОБОРУДОВАНИЕ И МЕТОДЫ";4;
Медных Д.А.;;№ 013-15 от 13.07.2015;ИНГГ СО РАН;Лаб.электромагнитных полей;Разработка методов и систем оперативного анализа и диагностики жидкости, выносимой из газовых скважин;Конторович Алексей Эмильевич;Газпром добыча Надым;Нефть/Газ;8 408 974,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;;
Аксенова Н.В.;;14.575.21.0171;НГУ ПрНИД;НОЦЭК;Разработка методов переработки продуктов превращения непищевого растительного сырья в высокооктановые добавки фуранового ряда для моторного топлива и другие высокоценные продукты;Конторович Алексей Эмильевич;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;45 000 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;"61: ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ; 
31: ХИМИЯ";"61.29: ХИМИЧЕСКОЕ СЫРЬЕ; 
31.15: ФИЗИЧЕСКАЯ ХИМИЯ";"61.29.39: ВОЗОБНОВЛЯЕМОЕ И НЕТРАДИЦИОННОЕ ХИМИЧЕСКОЕ СЫРЬЕ; 
31.15.27: КИНЕТИКА. ГОМОГЕННЫЙ КАТАЛИЗ. ГОРЕНИЕ. ВЗРЫВЫ;  
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ
";5;
Аксенова Н.В.;;14.575.21.0128;НГУ ПрНИД;НОЦЭК;Разработка методов совместной переработки нефтяных фракций и непищевых растительных масел в биоавиакеросин и низкозастывающее дизельное топливо;Конторович Алексей Эмильевич;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;45 000 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;"31: ХИМИЯ; 
61: ХИМИЧЕСКАЯ ТЕХНОЛОГИЯ. ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ
";"31.15: ФИЗИЧЕСКАЯ ХИМИЯ; 
61.51: ПЕРЕРАБОТКА ПРИРОДНЫХ ГАЗОВ, НЕФТИ, ГАЗОВОГО КОНДЕНСАТА, ИХ ПРОДУК-ТОВ И АНАЛОГОВ. МОТОРНОЕ ТОПЛИВО. СМАЗОЧНЫЕ МАТЕРИАЛЫ";"31.15.27: КИНЕТИКА. ГОМОГЕННЫЙ КАТАЛИЗ. ГОРЕНИЕ. ВЗРЫВЫ; 
31.15.28: ТОПОХИМИЯ. ГЕТЕРОГЕННЫЙ КАТАЛИЗ; 
61.51.29: ТОПЛИВА";5;
Медных Д.А.;;№ 416-03 от 01.03.2016;ИНГГ СО РАН;Лаб.скважинной геофизики;Разработка многофункциональной системы обработки и интерпретации данных аппаратурного комплекса Луч-102 для геонавигации;Конторович Алексей Эмильевич;Луч;;3 304 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;;
Аксенова Н.В.;;3010-14/115-17;НГУ ММФ;ЛНПГС;Разработка модели волновой динамики океанической среды на основе анализа натурных данных различных районов Мирового океана (Арктический регион, Тихоокеанский регион, Атлантический регион);Конторович Алексей Эмильевич;ВО ВГУ ФГБОУ ;Образование высшее;350 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА; 30.17.19: ТЕОРИЯ ВОЛН И КОЛЕБАНИЙ ЖИДКОСТИ;2;
Ерманюк Е.И.;;№ СТО-049/17Р, 18/08000/00802/Р;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Разработка модулей для решения задач построения верхней части разреза для обработки и интерпретации сейсмических данных;Конторович Алексей Эмильевич;Газпромнефть НТЦ ООО;Нефть/Газ;13 500 000,00;Не грант;Нет;Внебюджетное;НИР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;4;
Медных Д.А.;;№ 418-11 от 30.07.2018;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Разработка модулей для решения задач построения верхней части разреза для обработки и интерпретации сейсмических данных;Конторович Алексей Эмильевич;Газпромнефть НТЦ ООО;Нефть/Газ;7 666 482,42;Не грант;;Внебюджетное;НИОКР;Проведение исследований;Подходы и методы;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;;
Медных Д.А.;;№ 014-17 от 21.08.2017;ИНГГ СО РАН;Лаб.теоретических основ прогноза НГ ;Разработка научно-обоснованных предложений создания новых перспективных технологий поиска, разведки и разработки месторождений с запасами баженовской свиты;Конторович Алексей Эмильевич;МИНЭНЕРГО РОССИИ;Деятельность федеральных органов государственной власти, кроме полномочных представителей Президента Российской Федерации и территориальных органов федеральных органов исполнительной власти;27 000 000,00;Не грант;;Внебюджетное;НИР;Проведение исследований;Подходы и методы;;;;;
Аксенова Н.В.;;Задание № 3.1326.2017/ПЧ;НГУ ФФ;ЛФОЯФФ;Разработка новых методов спектроскопии и лазерного охлаждения для высокопрецезионных атомных часов нового поколения;Юдин Валерий Иванович;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;16 917 500,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;29: ФИЗИКА;"29.29: ФИЗИКА АТОМА И МОЛЕКУЛЫ; 
29.31: ОПТИКА; 
29.33: ЛАЗЕРНАЯ ФИЗИКА";"29.29.39: ВЗАИМОДЕЙСТВИЕ АТОМОВ И МОЛЕКУЛ С ВНЕШНИМИ ПОЛЯМИ И ИЗЛУЧЕНИЕМ; 
29.31.26: СПЕКТРОСКОПИЧЕСКИЕ МЕТОДЫ И МЕТОДИКИ; 
29.33.49: ЛАЗЕРНАЯ СПЕКТРОСКОПИЯ";4;
Аксенова Н.В.;;Договор № 14.Y30.16.5915-МК;НГУ ФЕН;ЛЭКП;Разработка параллельных алгоритмов для суперкомпьютерного моделирования пространственно трехмерных нестационарных процессов планетообразования в газопылевых гравитирующих дисках;Стояновская Ольга Петровна;Правительство РФ;Финансовая и организационная поддержка фундаментальных научных исследований;1 200 000,00;Грант;;Бюджетное;НИР;Поиск существующих технологий под решение вызова;Подходы и методы;"27: МАТЕМАТИКА; 
29: ФИЗИКА; 
31: ХИМИЯ";"29.17: ФИЗИКА ГАЗОВ И ЖИДКОСТЕЙ. ТЕРМО-ДИНАМИКА И СТАТИСТИЧЕСКАЯ ФИЗИКА; 
27.35: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ЕСТЕСТВЕННЫХ НАУК И ТЕХНИЧЕСКИХ НАУК. УРАВНЕНИЯ МАТЕМАТИЧЕСКОЙ ФИЗИКИ; 
31.17: НЕОРГАНИЧЕСКАЯ ХИМИЯ. КОМПЛЕКСНЫЕ СОЕДИНЕНИЯ";"29.17.15: ГАЗЫ; 
27.35.17: МАТЕМАТИЧЕСКИЕ МОДЕЛИ ГАЗОВОЙ ДИНАМИКИ; 
27.41.19: ЧИСЛЕННЫЕ МЕТОДЫ РЕШЕНИЯ ДИФФЕРЕНЦИАЛЬНЫХ И ИНТЕГРАЛЬНЫХ УРАВНЕНИЙ; 
31.17.15: НЕОРГАНИЧЕСКАЯ ХИМИЯ";1;
Аксенова Н.В.;;РФФИ-60007/15;НГУ ММФ;ЛабА, ЛМУФ;Разработка параметризованных алгоритмов для NP-трудных задач оптимизации маршрутов и расписаний;Ван Беверн Рене Андреасович;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;5 100 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;"27: МАТЕМАТИКА; 
73: ТРАНСПОРТ";"27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА; 
27.45: КОМБИНАТОРНЫЙ АНАЛИЗ. ТЕОРИЯ ГРАФОВ; 
73.01: ОБЩИЕ ВОПРОСЫ ТРАНСПОРТА;
";"27.41.41: АЛГОРИТМЫ РЕШЕНИЯ ЗАДАЧ ВЫЧИСЛИТЕЛЬНОЙ И ДИСКРЕТНОЙ МАТЕМАТИКИ; 
27.45.15: ОБЩАЯ ТЕОРИЯ КОМБИНАТОРНОГО АНАЛИЗА; 
73.01.75: ЭКОНОМИКА, ОРГАНИЗАЦИЯ, УПРАВЛЕНИЕ, ПЛАНИРОВАНИЕ И ПРОГНОЗИРОВАНИЕ НА ТРАНСПОРТЕ; ";3;
